date,balance
2021-03-01,-857.8
2021-04-01,-1132.5
2021-05-01,-1089.9
2021-06-01,-887.8
2021-07-01,-931.2
2021-08-01,-717.5
2021-09-01,-622.5
2021-10-01,-808.9
2021-11-01,-1100.7
2021-12-01,-1045.6
2022-01-01,-608.4
2022-02-01,-377.8
2022-03-01,-1140.8
2022-04-01,-822.9
2022-05-01,-827.5
2022-06-01,-628.2
2022-07-01,-542.6
2022-08-01,-643.4
2022-09-01,-443.6
2022-10-01,-824.5
2022-11-01,-519.9
2022-12-01,-698.7
2023-01-01,-536.6
2023-02-01,-322.9
2023-03-01,-280.7
2023-04-01,-315.9
2023-05-01,-1041.7
2023-06-01,-783.6
2023-07-01,-534.7
2023-08-01,-696.9
2023-09-01,-527.5
2023-10-01,-431.0
2023-11-01,-727.7
2023-12-01,-654.2
2024-01-01,-712.9
2024-02-01,-536.7
2024-03-01,-447.0
2024-04-01,-419.9
2024-05-01,-568.4
2024-06-01,-690.6
2024-07-01,-1189.6
2024-08-01,-793.5
2024-09-01,-913.3
2024-10-01,-766.0
2024-11-01,-851.0
2024-12-01,-975.5
2025-01-01,-1873.5
2025-02-01,-2837.9
2025-03-01,-786.6
2025-04-01,-330.1
2025-05-01,-132.4
2025-06-01,-359.9
2025-07-01,-1423.3
2025-08-01,-399.9
2025-09-01,-513.0
2025-10-01,-567.0
2025-11-01,-328.2
2025-12-01,-544.3
2026-01-01,-620.0
2026-02-01,-472.4
2026-03-01,-51.4
